Time, sus_pos_ref, sus_pos, sus_vel, sus_torque, steer_pos_ref, steer_pos, steer_vel, steer_torque, drive_vel_ref, drive_pos, drive_vel, drive_torque slip_ratio, grf_x, grf_y, grf_z, grt_x, grt_y, grt_z 
0.12,0,-7.01354e-05,-6.33415e-05,0,0,-1.07105e-12,-1.07105e-09,0,0,0.000382994,0.00399016,-1.62655,-0.0832623,1.32521,6.25398,913.287,0,0,0
0.121,0,-7.01798e-05,-4.43864e-05,0,0,-1.07105e-12,-1.07105e-09,0,0,0.000386817,0.00382315,-1.56005,-0.053267,1.59693,6.22881,911.251,0,0,0
0.122,0,-7.02056e-05,-2.58417e-05,0,0,-1.07105e-12,-1.07105e-09,0,0,0.000390402,0.00358523,-1.46518,-0.0568466,2.0239,6.13456,908.811,0,0,0
0.123,0,-7.0213e-05,-7.41143e-06,0,0,-1.07105e-12,-1.07105e-09,0,0,0.000393693,0.00329103,-1.34778,-0.0568719,2.46224,5.99827,906.445,0,0,0
0.124,0,-7.02025e-05,1.05674e-05,0,0,-1.07105e-12,-1.07105e-09,0,0,0.000396675,0.0029818,-1.22433,-0.0665557,2.8915,5.82128,903.904,0,0,0
0.125,0,-7.01747e-05,2.78151e-05,0,0,-1.07105e-12,-1.07105e-09,0,0,0.000399383,0.00270862,-1.11529,-0.0809481,3.30562,5.60782,903.045,0,0,0
0.126,0,-7.01304e-05,4.4211e-05,0,0,-1.07105e-12,-1.07105e-09,0,0,0.000401766,0.00238263,-0.985097,-0.15544,4.45905,4.74492,900.861,0,0,0
0.127,0,-7.00699e-05,6.05347e-05,0,0,-1.07105e-12,-1.07105e-09,0,0,0.000403897,0.002131,-0.884628,-0.181732,4.65902,4.54664,897.557,0,0,0
0.128,0,-6.99935e-05,7.63729e-05,0,0,-1.07105e-12,-1.07105e-09,0,0,0.000406049,0.00215203,-0.89321,-0.0710383,4.77337,4.42167,894.892,0,0,0
0.129,0,-6.99019e-05,9.16261e-05,0,0,-1.07105e-12,-1.07105e-09,0,0,0.00040796,0.00191059,-0.796797,-0.117121,5.57112,3.35635,891.97,0,0,0
